#ResPipeUI	ARO_accession	ARO_name	AMR_Gene_Family	Drug_Class	Resistance_Mechanism	Antibiotic	Efflux_Component	Efflux_Regulator	CVTERMID	gb	Species	SeqLength
3003223_U00096	ARO:3003223	Escherichia coli 16S rRNA mutation conferring resistance to edeine	16s_rRNA_with_mutation_conferring_resistance_to_peptide_antibiotics	aminoglycoside_antibiotic;glycopeptide_antibiotic;glycylcycline;nucleoside_antibiotic;peptide_antibiotic;tetracycline_antibiotic	antibiotic_target_alteration	astromicin;neomycin;dibekacin;streptothricin;amikacin;gentamicin_C;ribostamycin;butirosin;tigecycline;sisomicin;apramycin;netilmicin;spectinomycin;streptomycin;kanamycin_A;tetracycline;tobramycin;doxycycline;confers_resistance_to_drug__edeine_A;confers_resistance_to_drug__edeine_B;confers_resistance_to_drug__edeine_D;confers_resistance_to_drug__edeine_F;minocycline;hygromycin_B;chlortetracycline;isepamicin;G418;arbekacin;gentamicin_B;paromomycin;demeclocycline;oxytetracycline;bleomycinic_acid;bleomycin_A2;bleomycin_B2;lividomycin_A;lividomycin_B	Unassigned	Unassigned	39807	U00096	Escherichia coli K-12	1542
3000924_DQ286729	ARO:3000924	TEM-55	TEM_beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37304	DQ286729	Escherichia coli	861
3001916_DQ303459	ARO:3001916	CTX-M-54	CTX-M_beta-lactamase	cephalosporin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38316	DQ303459	Klebsiella pneumoniae	876
3002547_DQ303918	ARO:3002547	AAC(6')-Ib-cr	AAC(6')	aminoglycoside_antibiotic;fluoroquinolone_antibiotic	antibiotic_inactivation	neomycin;dibekacin;amikacin;sisomicin;confers_resistance_to_drug__ciprofloxacin;netilmicin;kanamycin_A;confers_resistance_to_drug__tobramycin;isepamicin;arbekacin;gentamicin_B;confers_resistance_to_drug__plazomicin	Unassigned	Unassigned	38947	DQ303918	Escherichia coli	600
3002719_DQ303919	ARO:3002719	QnrB5	quinolone_resistance_protein_(qnr)	fluoroquinolone_antibiotic	antibiotic_target_protection	ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic_acid;norfloxacin;sparfloxacin	Unassigned	Unassigned	39153	DQ303919	Salmonella enterica subsp. enterica serovar Berta	681
3002716_DQ303920	ARO:3002716	QnrB3	quinolone_resistance_protein_(qnr)	fluoroquinolone_antibiotic	antibiotic_target_protection	ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic_acid;norfloxacin;sparfloxacin	Unassigned	Unassigned	39150	DQ303920	Escherichia coli	681
3002718_DQ303921	ARO:3002718	QnrB4	quinolone_resistance_protein_(qnr)	fluoroquinolone_antibiotic	antibiotic_target_protection	ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic_acid;norfloxacin;sparfloxacin	Unassigned	Unassigned	39152	DQ303921	Escherichia coli	648
3001624_DQ309276	ARO:3001624	OXA-84	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38024	DQ309276	Acinetobacter baumannii	825
3001623_DQ309277	ARO:3001623	OXA-83	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38023	DQ309277	Acinetobacter baumannii	825
3001139_DQ322460	ARO:3001139	SHV-85	SHV_beta-lactamase	carbapenem;cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37519	DQ322460	Klebsiella pneumoniae	861
3001140_DQ328802	ARO:3001140	SHV-86	SHV_beta-lactamase	carbapenem;cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37520	DQ328802	Klebsiella pneumoniae	861
3001632_DQ335566	ARO:3001632	OXA-92	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38032	DQ335566	Acinetobacter baumannii	825
3002640_DQ336355	ARO:3002640	APH(3'')-Ic	APH(3'')	aminoglycoside_antibiotic	antibiotic_inactivation	streptomycin	Unassigned	Unassigned	39040	DQ336355	Mycolicibacterium fortuitum	765
3001704_DQ348075	ARO:3001704	OXA-87	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38104	DQ348075	Acinetobacter baumannii	825
3002714_DQ351241.1	ARO:3002714	QnrB1	quinolone_resistance_protein_(qnr)	fluoroquinolone_antibiotic	antibiotic_target_protection	ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic_acid;norfloxacin;sparfloxacin	Unassigned	Unassigned	39148	DQ351241.1	Klebsiella pneumoniae	645
3002213_DQ361087	ARO:3002213	IMP-22	IMP_beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38613	DQ361087	Pseudomonas fluorescens	741
3002283_DQ365886	ARO:3002283	VIM-13	VIM_beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38683	DQ365886	Pseudomonas aeruginosa	801
3001016_DQ369751	ARO:3001016	TEM-149	TEM_beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37396	DQ369751	Klebsiella aerogenes	861
3001005_DQ388882	ARO:3001005	TEM-142	TEM_beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37385	DQ388882	Escherichia coli	861
3002609_DQ390458	ARO:3002609	aadA9	ANT(3'')	aminoglycoside_antibiotic	antibiotic_inactivation	confers_resistance_to_drug__spectinomycin;confers_resistance_to_drug__streptomycin	Unassigned	Unassigned	39009	DQ390458	Corynebacterium sp. L2-79-05	900
3001626_DQ392963	ARO:3001626	OXA-88	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38026	DQ392963	Acinetobacter baumannii	825
3002615_DQ393783	ARO:3002615	aadA15	ANT(3'')	aminoglycoside_antibiotic	antibiotic_inactivation	confers_resistance_to_drug__spectinomycin;confers_resistance_to_drug__streptomycin	Unassigned	Unassigned	39015	DQ393783	Pseudomonas aeruginosa	792
3001920_DQ408762	ARO:3001920	CTX-M-59	CTX-M_beta-lactamase	cephalosporin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38320	DQ408762	Klebsiella pneumoniae	876
3001625_DQ445683	ARO:3001625	OXA-89	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38025	DQ445683	Acinetobacter baumannii	825
3002034_DQ463751	ARO:3002034	CMY-23	CMY_beta-lactamase	cephamycin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38434	DQ463751	Salmonella enterica subsp. enterica serovar Senftenberg	1146
3002790_DQ485529.1	ARO:3002790	QnrS1	quinolone_resistance_protein_(qnr)	fluoroquinolone_antibiotic	antibiotic_target_protection	confers_resistance_to_drug__ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic_acid;norfloxacin;sparfloxacin	Unassigned	Unassigned	39224	DQ485529.1	Salmonella enterica subsp. enterica serovar Bovismorbificans	657
3002791_DQ485530	ARO:3002791	QnrS2	quinolone_resistance_protein_(qnr)	fluoroquinolone_antibiotic	antibiotic_target_protection	ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic_acid;norfloxacin;sparfloxacin	Unassigned	Unassigned	39225	DQ485530	Salmonella enterica subsp. enterica serovar Anatum	657
3002521_DQ489307	ARO:3002521	OCH-8	OCH_beta-lactamase	cephalosporin;cephamycin;monobactam;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38921	DQ489307	Ochrobactrum anthropi	1173
3001437_DQ491200	ARO:3001437	OXA-67	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37837	DQ491200	Acinetobacter baumannii	825
3001627_DQ519086	ARO:3001627	OXA-91	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38027	DQ519086	Acinetobacter baumannii	825
3001628_DQ519087	ARO:3001628	OXA-93	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38028	DQ519087	Acinetobacter baumannii	825
3001629_DQ519088	ARO:3001629	OXA-94	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38029	DQ519088	Acinetobacter baumannii	825
3001630_DQ519089	ARO:3001630	OXA-95	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38030	DQ519089	Acinetobacter baumannii	825
3001631_DQ519090	ARO:3001631	OXA-96	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38031	DQ519090	Acinetobacter baumannii	843
3002221_DQ522237	ARO:3002221	IMP-30	IMP_beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38621	DQ522237	Pseudomonas aeruginosa	741
3002724_DQ631414	ARO:3002724	QnrB10	quinolone_resistance_protein_(qnr)	fluoroquinolone_antibiotic	antibiotic_target_protection	ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic_acid;norfloxacin;sparfloxacin	Unassigned	Unassigned	39158	DQ631414	Citrobacter freundii	681
3002621_DQ677333	ARO:3002621	aadA24	ANT(3'')	aminoglycoside_antibiotic	antibiotic_inactivation	confers_resistance_to_drug__spectinomycin;confers_resistance_to_drug__streptomycin	Unassigned	Unassigned	39021	DQ677333	Salmonella enterica subsp. enterica serovar Newport	780
3001021_DQ679961	ARO:3001021	TEM-155	TEM_beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37401	DQ679961	Proteus mirabilis	861
3004042_DQ679966	ARO:3004042	Enterobacter cloacae acrA	resistance-nodulation-cell_division_(RND)_antibiotic_efflux_pump	acridine_dye;aminocoumarin_antibiotic;aminoglycoside_antibiotic;antibacterial_free_fatty_acids;carbapenem;cephalosporin;diaminopyrimidine_antibiotic;fluoroquinolone_antibiotic;glycylcycline;macrolide_antibiotic;monobactam;penam;phenicol_antibiotic;rifamycin_antibiotic;tetracycline_antibiotic;triclosan	antibiotic_efflux	tigecycline;tetracycline;rifampin;chloramphenicol;ampicillin;cefalotin	efflux_pump_complex_or_subunit_conferring_antibiotic_resistance	Unassigned	41089	DQ679966	Enterobacter cloacae	1194
3002830_DQ823382	ARO:3002830	vgaALC	ABC-F_ATP-binding_cassette_ribosomal_protection_protein	lincosamide_antibiotic;macrolide_antibiotic;oxazolidinone_antibiotic;phenicol_antibiotic;pleuromutilin_antibiotic;streptogramin_antibiotic;tetracycline_antibiotic	antibiotic_target_protection	pristinamycin_IIA;madumycin_II;griseoviridin;dalfopristin;pleuromutilin	Unassigned	Unassigned	39264	DQ823382	Staphylococcus haemolyticus	1569
3002707_DQ831141	ARO:3002707	QnrA1	quinolone_resistance_protein_(qnr)	fluoroquinolone_antibiotic	antibiotic_target_protection	ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic_acid;norfloxacin;sparfloxacin	Unassigned	Unassigned	39141	DQ831141	Klebsiella pneumoniae	657
3001019_DQ834728	ARO:3001019	TEM-152	TEM_beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37399	DQ834728	Escherichia coli	861
3001018_DQ834729	ARO:3001018	TEM-151	TEM_beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37398	DQ834729	Escherichia coli	861
3002879_DQ836009.1	ARO:3002879	linG	lincosamide_nucleotidyltransferase_(LNU)	lincosamide_antibiotic	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	39313	DQ836009.1	Salmonella enterica subsp. enterica serovar Stanley	822
3001144_DQ836922	ARO:3001144	SHV-92	SHV_beta-lactamase	carbapenem;cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37524	DQ836922	Klebsiella pneumoniae	861
3002860_DQ838665	ARO:3002860	dfrA17	trimethoprim_resistant_dihydrofolate_reductase_dfr	diaminopyrimidine_antibiotic	antibiotic_target_replacement	confers_resistance_to_drug__trimethoprim;brodimoprim;tetroxoprim;iclaprim	Unassigned	Unassigned	39294	DQ838665	Pseudomonas aeruginosa	474
3003021_DQ839391.1	ARO:3003021	dfrB2	trimethoprim_resistant_dihydrofolate_reductase_dfr	diaminopyrimidine_antibiotic	antibiotic_target_replacement	trimethoprim;brodimoprim;tetroxoprim;iclaprim	Unassigned	Unassigned	39455	DQ839391.1	uncultured bacterium	237
3003741_DQ839391.1	ARO:3003741	mphE	macrolide_phosphotransferase_(MPH)	macrolide_antibiotic	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	40396	DQ839391.1	uncultured bacterium	885
3003855_DQ883640.1	ARO:3003855	ADC-10	ADC_beta-lactamase_without_carbapenemase_activity	cephalosporin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	40554	DQ883640.1	Acinetobacter baumannii	1167
3001917_DQ885477	ARO:3001917	CTX-M-55	CTX-M_beta-lactamase	cephalosporin	antibiotic_inactivation	confers_resistance_to_drug__ceftazidime;confers_resistance_to_drug__ceftriaxone	Unassigned	Unassigned	38317	DQ885477	Escherichia coli	876
3001649_DQ888718	ARO:3001649	OXA-99	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38049	DQ888718	Acinetobacter baumannii	825
3001023_DQ909059	ARO:3001023	TEM-157	TEM_beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37403	DQ909059	Enterobacter cloacae	861
3003868_EF016355.1	ARO:3003868	ADC-25	ADC_beta-lactamase_without_carbapenemase_activity	cephalosporin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	40567	EF016355.1	Acinetobacter baumannii	1152
3001615_EF016356.1	ARO:3001615	OXA-66	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38015	EF016356.1	Acinetobacter baumannii	825
3001647_EF102240.1	ARO:3001647	OXA-97	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38047	EF102240.1	Acinetobacter baumannii	843
3002210_EF118171	ARO:3002210	IMP-19	IMP_beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38610	EF118171	Aeromonas caviae	741
3001823_EF125013	ARO:3001823	ACT-3	ACT_beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38223	EF125013	Klebsiella pneumoniae	1146
3002373_EF136375	ARO:3002373	VEB-4	VEB_beta-lactamase	cephalosporin;monobactam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38773	EF136375	Proteus mirabilis	900
3001025_EF136376	ARO:3001025	TEM-159	TEM_beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37405	EF136376	Proteus mirabilis	861
3001026_EF136377	ARO:3001026	TEM-160	TEM_beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37406	EF136377	Proteus mirabilis	861
3002215_EF192154	ARO:3002215	IMP-24	IMP_beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38615	EF192154	Serratia marcescens	741
3001919_EF210159	ARO:3001919	CTX-M-58	CTX-M_beta-lactamase	cephalosporin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38319	EF210159	Escherichia coli	876
3001923_EF219134	ARO:3001923	CTX-M-62	CTX-M_beta-lactamase	cephalosporin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38323	EF219134	Klebsiella pneumoniae	876
3001922_EF219142	ARO:3001922	CTX-M-61	CTX-M_beta-lactamase	cephalosporin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38322	EF219142	Salmonella enterica subsp. enterica serovar Typhimurium	876
3001145_EF373969	ARO:3001145	SHV-93	SHV_beta-lactamase	carbapenem;cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37525	EF373969	Klebsiella pneumoniae	861
3001146_EF373970	ARO:3001146	SHV-94	SHV_beta-lactamase	carbapenem;cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37526	EF373970	Klebsiella pneumoniae	861
3001148_EF373971	ARO:3001148	SHV-96	SHV_beta-lactamase	carbapenem;cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37528	EF373971	Acinetobacter baumannii	861
3001147_EF373972	ARO:3001147	SHV-95	SHV_beta-lactamase	carbapenem;cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37527	EF373972	Citrobacter freundii	861
3001149_EF373973	ARO:3001149	SHV-97	SHV_beta-lactamase	carbapenem;cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37529	EF373973	Enterococcus faecalis	861
3001918_EF374097	ARO:3001918	CTX-M-56	CTX-M_beta-lactamase	cephalosporin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38318	EF374097	Escherichia coli	876
3002045_EF394370	ARO:3002045	CMY-34	CMY_beta-lactamase	cephamycin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38445	EF394370	Citrobacter freundii	1146
3002046_EF394371	ARO:3002046	CMY-35	CMY_beta-lactamase	cephamycin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38446	EF394371	Citrobacter freundii	1146
3002035_EF415650	ARO:3002035	CMY-24	CMY_beta-lactamase	cephamycin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38435	EF415650	Escherichia coli	1146
3002167_EF417572	ARO:3002167	MIR-4	MIR_beta-lactamase	cephalosporin;monobactam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38567	EF417572	Escherichia coli	1146
3001926_EF418608	ARO:3001926	CTX-M-65	CTX-M_beta-lactamase	cephalosporin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38326	EF418608	Escherichia coli	876
3002375_EF420108	ARO:3002375	VEB-5	VEB_beta-lactamase	cephalosporin;monobactam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38775	EF420108	Escherichia coli	900
3001940_EF426798	ARO:3001940	CTX-M-79	CTX-M_beta-lactamase	cephalosporin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38340	EF426798	Escherichia coli	876
3002838_EF452177	ARO:3002838	lnuD	lincosamide_nucleotidyltransferase_(LNU)	lincosamide_antibiotic	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	39272	EF452177	Streptococcus uberis	495
3001028_EF468463	ARO:3001028	TEM-162	TEM_beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37408	EF468463	Acinetobacter haemolyticus	861
3002715_EF488762	ARO:3002715	QnrB2	quinolone_resistance_protein_(qnr)	fluoroquinolone_antibiotic	antibiotic_target_protection	ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic_acid;norfloxacin;sparfloxacin	Unassigned	Unassigned	39149	EF488762	Proteus mirabilis	645
3001818_EF504260	ARO:3001818	ACC-4	ACC_beta-lactamase	cephalosporin;monobactam;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38218	EF504260	Escherichia coli	1161
3002720_EF520349	ARO:3002720	QnrB6	quinolone_resistance_protein_(qnr)	fluoroquinolone_antibiotic	antibiotic_target_protection	ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic_acid;norfloxacin;sparfloxacin	Unassigned	Unassigned	39154	EF520349	Pantoea agglomerans	681
3002723_EF526508	ARO:3002723	QnrB9	quinolone_resistance_protein_(qnr)	fluoroquinolone_antibiotic	antibiotic_target_protection	ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic_acid;norfloxacin;sparfloxacin	Unassigned	Unassigned	39157	EF526508	Citrobacter freundii	645
3001705_EF534256	ARO:3001705	OXA-72	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38105	EF534256	Acinetobacter baumannii	827
3001024_EF534736	ARO:3001024	TEM-158	TEM_beta-lactamase	cephalosporin;monobactam;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37404	EF534736	Escherichia coli	861
3000160_EF540343.1	ARO:3000160	blaI	blaZ_beta-lactamase	penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	36299	EF540343.1	Bacillus clausii	381
3000217_EF540343.1	ARO:3000217	blaR1	blaZ_beta-lactamase	penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	36356	EF540343.1	Bacillus clausii	1767
3002623_EF540343	ARO:3002623	ANT(4')-Ia	ANT(4')	aminoglycoside_antibiotic	antibiotic_inactivation	neomycin;ribostamycin;kanamycin_A;tobramycin;isepamicin;G418;gentamicin_B;paromomycin;lividomycin_A;lividomycin_B;confers_resistance_to_drug__plazomicin	Unassigned	Unassigned	39023	EF540343	Bacillus clausii	771
3001802_EF552405	ARO:3001802	OXA-141	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38202	EF552405	Pseudomonas aeruginosa	828
3002039_EF561644	ARO:3002039	CMY-28	CMY_beta-lactamase	cephamycin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38439	EF561644	Escherichia coli	1146
3001927_EF576988	ARO:3001927	CTX-M-66	CTX-M_beta-lactamase	cephalosporin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38327	EF576988	Proteus mirabilis	876
3001636_EF581285	ARO:3001636	OXA-104	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38036	EF581285	Acinetobacter baumannii	822
3001928_EF581888	ARO:3001928	CTX-M-67	CTX-M_beta-lactamase	cephalosporin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38328	EF581888	Escherichia coli	876
3002586_EF614235	ARO:3002586	AAC(6')-32	AAC(6')	aminoglycoside_antibiotic	antibiotic_inactivation	neomycin;dibekacin;amikacin;sisomicin;netilmicin;kanamycin_A;tobramycin;isepamicin;arbekacin;gentamicin_B	Unassigned	Unassigned	38986	EF614235	Pseudomonas aeruginosa	555
3002272_EF614235	ARO:3002272	VIM-2	VIM_beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38672	EF614235	Pseudomonas aeruginosa	801
3002042_EF622224	ARO:3002042	CMY-31	CMY_beta-lactamase	cephamycin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38442	EF622224	Klebsiella pneumoniae	1146
3001637_EF650032	ARO:3001637	OXA-106	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38037	EF650032	Acinetobacter baumannii	825
3001638_EF650033	ARO:3001638	OXA-107	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38038	EF650033	Acinetobacter baumannii A424	825
3001639_EF650034	ARO:3001639	OXA-108	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38039	EF650034	Acinetobacter baumannii	825
3001640_EF650035	ARO:3001640	OXA-109	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38040	EF650035	Acinetobacter baumannii	825
3001641_EF650036	ARO:3001641	OXA-110	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38041	EF650036	Acinetobacter baumannii	825
3001642_EF650037	ARO:3001642	OXA-111	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38042	EF650037	Acinetobacter baumannii	825
3001643_EF650038	ARO:3001643	OXA-112	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38043	EF650038	Acinetobacter baumannii	825
3002725_EF653270	ARO:3002725	QnrB11	quinolone_resistance_protein_(qnr)	fluoroquinolone_antibiotic	antibiotic_target_protection	ciprofloxacin;levofloxacin;moxifloxacin;gatifloxacin;nalidixic_acid;norfloxacin;sparfloxacin	Unassigned	Unassigned	39159	EF653270	Citrobacter freundii	648
3001644_EF653400	ARO:3001644	OXA-113	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38044	EF653400	Acinetobacter baumannii	825
3002849_EF660562	ARO:3002849	arr-4	rifampin_ADP-ribosyltransferase_(Arr)	rifamycin_antibiotic	antibiotic_inactivation	rifampin;rifaximin;rifabutin;rifapentine	Unassigned	Unassigned	39283	EF660562	Pseudomonas aeruginosa	453
3002850_EF660563	ARO:3002850	arr-5	rifampin_ADP-ribosyltransferase_(Arr)	rifamycin_antibiotic	antibiotic_inactivation	rifampin;rifaximin;rifabutin;rifapentine	Unassigned	Unassigned	39284	EF660563	Klebsiella pneumoniae	453
3000841_EF672680	ARO:3000841	CGB-1	CGB_beta-lactamase	carbapenem;cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37221	EF672680	Chryseobacterium gleum	729
3002040_EF685371	ARO:3002040	CMY-29	CMY_beta-lactamase	cephamycin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38440	EF685371	Escherichia coli	1143
3002041_EF685372	ARO:3002041	CMY-30	CMY_beta-lactamase	cephamycin	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38441	EF685372	Escherichia coli	1143
3001633_EU019534	ARO:3001633	OXA-79	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38033	EU019534	Acinetobacter baumannii	825
3001634_EU019535	ARO:3001634	OXA-80	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38034	EU019535	Acinetobacter baumannii	825
3001635_EU019536	ARO:3001635	OXA-82	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	38035	EU019536	Acinetobacter baumannii	825
3004623_EU022314.1	ARO:3004623	AAC(3)-IId	AAC(3)	aminoglycoside_antibiotic	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	42605	EU022314.1	Escherichia coli	861
3004621_EU022315.1	ARO:3004621	AAC(3)-IIe	AAC(3)	aminoglycoside_antibiotic	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	42600	EU022315.1	Escherichia coli	861
3001151_EU024485	ARO:3001151	SHV-102	SHV_beta-lactamase	carbapenem;cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37531	EU024485	Escherichia coli	861
3001440_EU029998	ARO:3001440	OXA-115	OXA_beta-lactamase	cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37840	EU029998	Acinetobacter baumannii	825
3001152_EU032604	ARO:3001152	SHV-103	SHV_beta-lactamase	carbapenem;cephalosporin;penam	antibiotic_inactivation	Unassigned	Unassigned	Unassigned	37532	EU032604	Klebsiella pneumoniae	861
